Property Type,Check-in,Check-out,Name,Price,Rating,Reviews Count,Location,Image URL,Image Path
home,2024-09-01,2024-09-03,Entire Holiday Home in Galiyat with Valley Views,,,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/623219362.webp?k=311d65d63324cc509e44f6a530f4259dc82850f0a9d62a05465b1c9c8f6668d7&o=,images_home\Entire_Holiday_Home_in_Galiyat_with_Valley_Views_2024-09-01.jpg
home,2024-09-01,2024-09-03,Mountain View House,,Scored 10,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/269407330.webp?k=6edbfd4376ed84ce3707c5bff464b17a2a95ab98fbaad6a3134f1d5fdf927a79&o=,images_home\Mountain_View_House_2024-09-01.jpg
home,2024-10-01,2024-10-03,The Radiant Residence Phase 3 Bahria Town,,Scored 8.2,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/668808475.webp?k=a6736b10a1ad2230c206888ca08419da9cbe99cba43c04fa831c821f888a9f51&o=,images_home\The_Radiant_Residence_Phase_3_Bahria_Town_2024-10-01.jpg
home,2024-10-01,2024-10-03,"The Mountain Retreat, Muzaffarabad - Families Only",,Scored 9.6,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/707404221.webp?k=3177da51eab024eef7679367288f788a017779dd7385bca45c1d49bfc70fef51&o=,images_home\The_Mountain_Retreat__Muzaffarabad_-_Families_Only_2024-10-01.jpg
home,2024-10-01,2024-10-03,Peaceful Private Cottage in Khaira Gali Galyat Murree,,Scored 8.7,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/362695824.webp?k=a62c1426442b40aaac416624bdfe982adec7c6d34e692d131fc2f895f6c0517a&o=,images_home\Peaceful_Private_Cottage_in_Khaira_Gali_Galyat_Murree_2024-10-01.jpg
home,2024-10-01,2024-10-03,Two Bedroom House near Centaurus,,,,"G-8 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/709645283.webp?k=c317092a374055edadffe87ac02a9281a0af05cd9a2932f81b0111e1178f1544&o=,images_home\Two_Bedroom_House_near_Centaurus_2024-10-01.jpg
home,2024-10-01,2024-10-03,Haven Lodge - 7BR Luxury Vacation Home with Mountain View,,Scored 7.9,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/606329309.webp?k=f976b94cffdd59b6259d9258b0d8066965124f116bfec5f1e6dbcdd92ed054ec&o=,images_home\Haven_Lodge_-_7BR_Luxury_Vacation_Home_with_Mountain_View_2024-10-01.jpg
home,2024-10-01,2024-10-03,Vip homes jhelum,,Scored 9.4,,Jhelum,https://cf.bstatic.com/xdata/images/hotel/square240/565400145.webp?k=6ea8e447b0ad7388e168989011875c35081882c1752a79e9d547324efb133970&o=,images_home\Vip_homes_jhelum_2024-10-01.jpg
home,2024-10-01,2024-10-03,Relax point,,,,Sargodha,https://cf.bstatic.com/xdata/images/hotel/square240/727328821.webp?k=51a21f386d66bcdbdc1454f01edf2a33b0c76be086ba3799d084f60b43a4ca48&o=,images_home\Relax_point_2024-10-01.jpg
home,2024-10-01,2024-10-03,Haven Hilltop Cottage,,,,Dunga Gali,https://cf.bstatic.com/xdata/images/hotel/square240/709679195.webp?k=2316ea2294885d1535b6cde801fbe4b5cf24c724958c78a3f1095cb53fcc6408&o=,images_home\Haven_Hilltop_Cottage_2024-10-01.jpg
home,2024-10-01,2024-10-03,Mirpur house,,,,Bhimbar,https://cf.bstatic.com/xdata/images/hotel/square240/698972122.webp?k=cf5c8abdc2c3deecc84c491669c0ca0c6e1bf2bcd552aacef4ac01e006f13278&o=,images_home\Mirpur_house_2024-10-01.jpg
home,2024-10-01,2024-10-03,Pegasus Lodge Entire Family Guest House 5400 Square Feet Your Comfort Our Promise,,Scored 9.0,,"F-7 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/708831492.webp?k=745652c554119dad00a32d0dd3167d6a5ae8e90374221dc44ed59ac4ca10ad6f&o=,images_home\Pegasus_Lodge_Entire_Family_Guest_House_5400_Square_Feet_Your_Comfort_Our_Promise_2024-10-01.jpg
home,2024-10-01,2024-10-03,Roof Top Resort,,Scored 9.1,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/520240276.webp?k=a08b914fc40dd774cef0bf253e3b4cf8a33b6782abfe167c2ac759e1a24fd88f&o=,images_home\Roof_Top_Resort_2024-10-01.jpg
home,2024-10-01,2024-10-03,Naqvi's Residency,,Scored 8.6,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/575187965.webp?k=d1df0deb51d29835fe94419989083c0f806a2c98b37e54fd4d3c72559f7b0c19&o=,images_home\Naqvi_s_Residency_2024-10-01.jpg
home,2024-10-01,2024-10-03,Haven Lodge KhairaGali - Pine Ridge Residences #3,,,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/697222704.webp?k=7e1ebc04f8de587e5d0a4c701eefa9c811754eda78657a47d9df6e7d7815bb5c&o=,images_home\Haven_Lodge_KhairaGali_-_Pine_Ridge_Residences__3_2024-10-01.jpg
home,2024-10-01,2024-10-03,Furnished Comfy House,,,,Faisalabad,https://cf.bstatic.com/xdata/images/hotel/square240/690653579.webp?k=e955b8dbd61957753715805e249a40e43beab7ae493d5a75057faa0e22798a98&o=,images_home\Furnished_Comfy_House_2024-10-01.jpg
home,2024-10-01,2024-10-03,"Cottage in Changla Gali - Secluded, Cozy Stay",,,,Chāngla Gali,https://cf.bstatic.com/xdata/images/hotel/square240/723913092.webp?k=eb018150d65a46d6fadb39db7b84ce7f05d511254352b5d685ed714139519c12&o=,images_home\Cottage_in_Changla_Gali_-_Secluded__Cozy_Stay_2024-10-01.jpg
home,2024-10-01,2024-10-03,Glanz Homz Opulent 3BR on 1st floor,,,,"Model Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/592277300.webp?k=35a652550ad74a14357f4fe6e1279f67508034aadff2ad097c54aae5be7d3a45&o=,images_home\Glanz_Homz_Opulent_3BR_on_1st_floor_2024-10-01.jpg
home,2024-10-01,2024-10-03,Space to live your life,,,,Dargai,https://cf.bstatic.com/xdata/images/hotel/square240/687642108.webp?k=94b722af71e2e8c125417e2794a5b1100070ba891e1ced95e5961b4b1cd14230&o=,images_home\Space_to_live_your_life_2024-10-01.jpg
home,2024-10-01,2024-10-03,Serenity Family Retreat,,Scored 6.3,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/552831539.webp?k=cf1bc421bbeeec1f320ce57231880db9f1a098c5a2daefcfe35731ae919a9596&o=,images_home\Serenity_Family_Retreat_2024-10-01.jpg
home,2024-10-01,2024-10-03,Private Home,,,,Abbottābād,https://cf.bstatic.com/xdata/images/hotel/square240/699078303.webp?k=bfc2791c9210908d07157f19702a46fd7607ec94c87f8392abd689da3665818e&o=,images_home\Private_Home_2024-10-01.jpg
home,2024-10-01,2024-10-03,Haven Lodge Khaira Gali - Pine Ridge Residences #7,,Scored 7.7,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/676385248.webp?k=e4c5903e90d5e171017ad6a76d728522a0136b136b199375b5f5f76d44c4d714&o=,images_home\Haven_Lodge_Khaira_Gali_-_Pine_Ridge_Residences__7_2024-10-01.jpg
home,2024-10-01,2024-10-03,Charming Home banglow,,Scored 9.4,,"Clifton, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/591336982.webp?k=221124f7005daebbf5f17ff967ccd7c7b71646fe45271597ccc0b195a55d8a0e&o=,images_home\Charming_Home_banglow_2024-10-01.jpg
home,2024-10-01,2024-10-03,"Spacious 3 Bedroom Furnished Family Home near Valencia Town, Lake City & Ring Road",,Scored 8.8,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/498125304.webp?k=af4f6c664e570c0d5dfc3c0ebc42e475d3d60d3be661db00f6553ec5ff26010b&o=,images_home\Spacious_3_Bedroom_Furnished_Family_Home_near_Valencia_Town__Lake_City___Ring_Road_2024-10-01.jpg
home,2024-10-01,2024-10-03,House in bahria,,,,Dargai,https://cf.bstatic.com/xdata/images/hotel/square240/676667169.webp?k=136e367e2ad41323c76c9d6194f3e169a59d8623ddf8002087203cd23fc3b940&o=,images_home\House_in_bahria_2024-10-01.jpg
home,2024-10-01,2024-10-03,Entire Holiday Home in Galiyat with Valley Views,,,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/623219362.webp?k=311d65d63324cc509e44f6a530f4259dc82850f0a9d62a05465b1c9c8f6668d7&o=,images_home\Entire_Holiday_Home_in_Galiyat_with_Valley_Views_2024-10-01.jpg
home,2024-10-01,2024-10-03,Mountain View House,,Scored 10,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/269407330.webp?k=6edbfd4376ed84ce3707c5bff464b17a2a95ab98fbaad6a3134f1d5fdf927a79&o=,images_home\Mountain_View_House_2024-10-01.jpg
home,2024-11-01,2024-11-03,The Radiant Residence Phase 3 Bahria Town,,Scored 8.2,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/668808475.webp?k=a6736b10a1ad2230c206888ca08419da9cbe99cba43c04fa831c821f888a9f51&o=,images_home\The_Radiant_Residence_Phase_3_Bahria_Town_2024-11-01.jpg
home,2024-11-01,2024-11-03,"The Mountain Retreat, Muzaffarabad - Families Only",,Scored 9.6,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/707404221.webp?k=3177da51eab024eef7679367288f788a017779dd7385bca45c1d49bfc70fef51&o=,images_home\The_Mountain_Retreat__Muzaffarabad_-_Families_Only_2024-11-01.jpg
home,2024-11-01,2024-11-03,Peaceful Private Cottage in Khaira Gali Galyat Murree,,Scored 8.7,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/362695824.webp?k=a62c1426442b40aaac416624bdfe982adec7c6d34e692d131fc2f895f6c0517a&o=,images_home\Peaceful_Private_Cottage_in_Khaira_Gali_Galyat_Murree_2024-11-01.jpg
home,2024-11-01,2024-11-03,Two Bedroom House near Centaurus,,,,"G-8 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/709645283.webp?k=c317092a374055edadffe87ac02a9281a0af05cd9a2932f81b0111e1178f1544&o=,images_home\Two_Bedroom_House_near_Centaurus_2024-11-01.jpg
home,2024-11-01,2024-11-03,Haven Lodge - 7BR Luxury Vacation Home with Mountain View,,Scored 7.9,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/606329309.webp?k=f976b94cffdd59b6259d9258b0d8066965124f116bfec5f1e6dbcdd92ed054ec&o=,images_home\Haven_Lodge_-_7BR_Luxury_Vacation_Home_with_Mountain_View_2024-11-01.jpg
home,2024-11-01,2024-11-03,Vip homes jhelum,,Scored 9.4,,Jhelum,https://cf.bstatic.com/xdata/images/hotel/square240/565400145.webp?k=6ea8e447b0ad7388e168989011875c35081882c1752a79e9d547324efb133970&o=,images_home\Vip_homes_jhelum_2024-11-01.jpg
home,2024-11-01,2024-11-03,Relax point,,,,Sargodha,https://cf.bstatic.com/xdata/images/hotel/square240/727328821.webp?k=51a21f386d66bcdbdc1454f01edf2a33b0c76be086ba3799d084f60b43a4ca48&o=,images_home\Relax_point_2024-11-01.jpg
home,2024-11-01,2024-11-03,Haven Hilltop Cottage,,,,Dunga Gali,https://cf.bstatic.com/xdata/images/hotel/square240/709679195.webp?k=2316ea2294885d1535b6cde801fbe4b5cf24c724958c78a3f1095cb53fcc6408&o=,images_home\Haven_Hilltop_Cottage_2024-11-01.jpg
home,2024-11-01,2024-11-03,Mirpur house,,,,Bhimbar,https://cf.bstatic.com/xdata/images/hotel/square240/698972122.webp?k=cf5c8abdc2c3deecc84c491669c0ca0c6e1bf2bcd552aacef4ac01e006f13278&o=,images_home\Mirpur_house_2024-11-01.jpg
home,2024-11-01,2024-11-03,Pegasus Lodge Entire Family Guest House 5400 Square Feet Your Comfort Our Promise,,Scored 9.0,,"F-7 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/708831492.webp?k=745652c554119dad00a32d0dd3167d6a5ae8e90374221dc44ed59ac4ca10ad6f&o=,images_home\Pegasus_Lodge_Entire_Family_Guest_House_5400_Square_Feet_Your_Comfort_Our_Promise_2024-11-01.jpg
home,2024-11-01,2024-11-03,Roof Top Resort,,Scored 9.1,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/520240276.webp?k=a08b914fc40dd774cef0bf253e3b4cf8a33b6782abfe167c2ac759e1a24fd88f&o=,images_home\Roof_Top_Resort_2024-11-01.jpg
home,2024-11-01,2024-11-03,Naqvi's Residency,,Scored 8.6,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/575187965.webp?k=d1df0deb51d29835fe94419989083c0f806a2c98b37e54fd4d3c72559f7b0c19&o=,images_home\Naqvi_s_Residency_2024-11-01.jpg
home,2024-11-01,2024-11-03,Haven Lodge KhairaGali - Pine Ridge Residences #3,,,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/697222704.webp?k=7e1ebc04f8de587e5d0a4c701eefa9c811754eda78657a47d9df6e7d7815bb5c&o=,images_home\Haven_Lodge_KhairaGali_-_Pine_Ridge_Residences__3_2024-11-01.jpg
home,2024-11-01,2024-11-03,Furnished Comfy House,,,,Faisalabad,https://cf.bstatic.com/xdata/images/hotel/square240/690653579.webp?k=e955b8dbd61957753715805e249a40e43beab7ae493d5a75057faa0e22798a98&o=,images_home\Furnished_Comfy_House_2024-11-01.jpg
home,2024-11-01,2024-11-03,"Cottage in Changla Gali - Secluded, Cozy Stay",,,,Chāngla Gali,https://cf.bstatic.com/xdata/images/hotel/square240/723913092.webp?k=eb018150d65a46d6fadb39db7b84ce7f05d511254352b5d685ed714139519c12&o=,images_home\Cottage_in_Changla_Gali_-_Secluded__Cozy_Stay_2024-11-01.jpg
home,2024-11-01,2024-11-03,Glanz Homz Opulent 3BR on 1st floor,,,,"Model Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/592277300.webp?k=35a652550ad74a14357f4fe6e1279f67508034aadff2ad097c54aae5be7d3a45&o=,images_home\Glanz_Homz_Opulent_3BR_on_1st_floor_2024-11-01.jpg
home,2024-11-01,2024-11-03,Space to live your life,,,,Dargai,https://cf.bstatic.com/xdata/images/hotel/square240/687642108.webp?k=94b722af71e2e8c125417e2794a5b1100070ba891e1ced95e5961b4b1cd14230&o=,images_home\Space_to_live_your_life_2024-11-01.jpg
home,2024-11-01,2024-11-03,Serenity Family Retreat,,Scored 6.3,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/552831539.webp?k=cf1bc421bbeeec1f320ce57231880db9f1a098c5a2daefcfe35731ae919a9596&o=,images_home\Serenity_Family_Retreat_2024-11-01.jpg
home,2024-11-01,2024-11-03,Private Home,,,,Abbottābād,https://cf.bstatic.com/xdata/images/hotel/square240/699078303.webp?k=bfc2791c9210908d07157f19702a46fd7607ec94c87f8392abd689da3665818e&o=,images_home\Private_Home_2024-11-01.jpg
home,2024-11-01,2024-11-03,Haven Lodge Khaira Gali - Pine Ridge Residences #7,,Scored 7.7,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/676385248.webp?k=e4c5903e90d5e171017ad6a76d728522a0136b136b199375b5f5f76d44c4d714&o=,images_home\Haven_Lodge_Khaira_Gali_-_Pine_Ridge_Residences__7_2024-11-01.jpg
home,2024-11-01,2024-11-03,Charming Home banglow,,Scored 9.4,,"Clifton, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/591336982.webp?k=221124f7005daebbf5f17ff967ccd7c7b71646fe45271597ccc0b195a55d8a0e&o=,images_home\Charming_Home_banglow_2024-11-01.jpg
home,2024-11-01,2024-11-03,"Spacious 3 Bedroom Furnished Family Home near Valencia Town, Lake City & Ring Road",,Scored 8.8,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/498125304.webp?k=af4f6c664e570c0d5dfc3c0ebc42e475d3d60d3be661db00f6553ec5ff26010b&o=,images_home\Spacious_3_Bedroom_Furnished_Family_Home_near_Valencia_Town__Lake_City___Ring_Road_2024-11-01.jpg
home,2024-11-01,2024-11-03,House in bahria,,,,Dargai,https://cf.bstatic.com/xdata/images/hotel/square240/676667169.webp?k=136e367e2ad41323c76c9d6194f3e169a59d8623ddf8002087203cd23fc3b940&o=,images_home\House_in_bahria_2024-11-01.jpg
home,2024-11-01,2024-11-03,Entire Holiday Home in Galiyat with Valley Views,,,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/623219362.webp?k=311d65d63324cc509e44f6a530f4259dc82850f0a9d62a05465b1c9c8f6668d7&o=,images_home\Entire_Holiday_Home_in_Galiyat_with_Valley_Views_2024-11-01.jpg
home,2024-11-01,2024-11-03,Mountain View House,,Scored 10,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/269407330.webp?k=6edbfd4376ed84ce3707c5bff464b17a2a95ab98fbaad6a3134f1d5fdf927a79&o=,images_home\Mountain_View_House_2024-11-01.jpg
home,2024-12-01,2024-12-03,The Radiant Residence Phase 3 Bahria Town,,Scored 8.2,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/668808475.webp?k=a6736b10a1ad2230c206888ca08419da9cbe99cba43c04fa831c821f888a9f51&o=,images_home\The_Radiant_Residence_Phase_3_Bahria_Town_2024-12-01.jpg
home,2024-12-01,2024-12-03,"The Mountain Retreat, Muzaffarabad - Families Only",,Scored 9.6,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/707404221.webp?k=3177da51eab024eef7679367288f788a017779dd7385bca45c1d49bfc70fef51&o=,images_home\The_Mountain_Retreat__Muzaffarabad_-_Families_Only_2024-12-01.jpg
home,2024-12-01,2024-12-03,Peaceful Private Cottage in Khaira Gali Galyat Murree,,Scored 8.7,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/362695824.webp?k=a62c1426442b40aaac416624bdfe982adec7c6d34e692d131fc2f895f6c0517a&o=,images_home\Peaceful_Private_Cottage_in_Khaira_Gali_Galyat_Murree_2024-12-01.jpg
home,2024-12-01,2024-12-03,Two Bedroom House near Centaurus,,,,"G-8 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/709645283.webp?k=c317092a374055edadffe87ac02a9281a0af05cd9a2932f81b0111e1178f1544&o=,images_home\Two_Bedroom_House_near_Centaurus_2024-12-01.jpg
home,2024-12-01,2024-12-03,Haven Lodge - 7BR Luxury Vacation Home with Mountain View,,Scored 7.9,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/606329309.webp?k=f976b94cffdd59b6259d9258b0d8066965124f116bfec5f1e6dbcdd92ed054ec&o=,images_home\Haven_Lodge_-_7BR_Luxury_Vacation_Home_with_Mountain_View_2024-12-01.jpg
home,2024-12-01,2024-12-03,Vip homes jhelum,,Scored 9.4,,Jhelum,https://cf.bstatic.com/xdata/images/hotel/square240/565400145.webp?k=6ea8e447b0ad7388e168989011875c35081882c1752a79e9d547324efb133970&o=,images_home\Vip_homes_jhelum_2024-12-01.jpg
home,2024-12-01,2024-12-03,Relax point,,,,Sargodha,https://cf.bstatic.com/xdata/images/hotel/square240/727328821.webp?k=51a21f386d66bcdbdc1454f01edf2a33b0c76be086ba3799d084f60b43a4ca48&o=,images_home\Relax_point_2024-12-01.jpg
home,2024-12-01,2024-12-03,Haven Hilltop Cottage,,,,Dunga Gali,https://cf.bstatic.com/xdata/images/hotel/square240/709679195.webp?k=2316ea2294885d1535b6cde801fbe4b5cf24c724958c78a3f1095cb53fcc6408&o=,images_home\Haven_Hilltop_Cottage_2024-12-01.jpg
home,2024-12-01,2024-12-03,Mirpur house,,,,Bhimbar,https://cf.bstatic.com/xdata/images/hotel/square240/698972122.webp?k=cf5c8abdc2c3deecc84c491669c0ca0c6e1bf2bcd552aacef4ac01e006f13278&o=,images_home\Mirpur_house_2024-12-01.jpg
home,2024-12-01,2024-12-03,Pegasus Lodge Entire Family Guest House 5400 Square Feet Your Comfort Our Promise,,Scored 9.0,,"F-7 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/708831492.webp?k=745652c554119dad00a32d0dd3167d6a5ae8e90374221dc44ed59ac4ca10ad6f&o=,images_home\Pegasus_Lodge_Entire_Family_Guest_House_5400_Square_Feet_Your_Comfort_Our_Promise_2024-12-01.jpg
home,2024-12-01,2024-12-03,Roof Top Resort,,Scored 9.1,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/520240276.webp?k=a08b914fc40dd774cef0bf253e3b4cf8a33b6782abfe167c2ac759e1a24fd88f&o=,images_home\Roof_Top_Resort_2024-12-01.jpg
home,2024-12-01,2024-12-03,Naqvi's Residency,,Scored 8.6,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/575187965.webp?k=d1df0deb51d29835fe94419989083c0f806a2c98b37e54fd4d3c72559f7b0c19&o=,images_home\Naqvi_s_Residency_2024-12-01.jpg
home,2024-12-01,2024-12-03,Haven Lodge KhairaGali - Pine Ridge Residences #3,,,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/697222704.webp?k=7e1ebc04f8de587e5d0a4c701eefa9c811754eda78657a47d9df6e7d7815bb5c&o=,images_home\Haven_Lodge_KhairaGali_-_Pine_Ridge_Residences__3_2024-12-01.jpg
home,2024-12-01,2024-12-03,Furnished Comfy House,,,,Faisalabad,https://cf.bstatic.com/xdata/images/hotel/square240/690653579.webp?k=e955b8dbd61957753715805e249a40e43beab7ae493d5a75057faa0e22798a98&o=,images_home\Furnished_Comfy_House_2024-12-01.jpg
home,2024-12-01,2024-12-03,"Cottage in Changla Gali - Secluded, Cozy Stay",,,,Chāngla Gali,https://cf.bstatic.com/xdata/images/hotel/square240/723913092.webp?k=eb018150d65a46d6fadb39db7b84ce7f05d511254352b5d685ed714139519c12&o=,images_home\Cottage_in_Changla_Gali_-_Secluded__Cozy_Stay_2024-12-01.jpg
home,2024-12-01,2024-12-03,Glanz Homz Opulent 3BR on 1st floor,,,,"Model Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/592277300.webp?k=35a652550ad74a14357f4fe6e1279f67508034aadff2ad097c54aae5be7d3a45&o=,images_home\Glanz_Homz_Opulent_3BR_on_1st_floor_2024-12-01.jpg
home,2024-12-01,2024-12-03,Space to live your life,,,,Dargai,https://cf.bstatic.com/xdata/images/hotel/square240/687642108.webp?k=94b722af71e2e8c125417e2794a5b1100070ba891e1ced95e5961b4b1cd14230&o=,images_home\Space_to_live_your_life_2024-12-01.jpg
home,2024-12-01,2024-12-03,Serenity Family Retreat,,Scored 6.3,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/552831539.webp?k=cf1bc421bbeeec1f320ce57231880db9f1a098c5a2daefcfe35731ae919a9596&o=,images_home\Serenity_Family_Retreat_2024-12-01.jpg
home,2024-12-01,2024-12-03,Private Home,,,,Abbottābād,https://cf.bstatic.com/xdata/images/hotel/square240/699078303.webp?k=bfc2791c9210908d07157f19702a46fd7607ec94c87f8392abd689da3665818e&o=,images_home\Private_Home_2024-12-01.jpg
home,2024-12-01,2024-12-03,Haven Lodge Khaira Gali - Pine Ridge Residences #7,,Scored 7.7,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/676385248.webp?k=e4c5903e90d5e171017ad6a76d728522a0136b136b199375b5f5f76d44c4d714&o=,images_home\Haven_Lodge_Khaira_Gali_-_Pine_Ridge_Residences__7_2024-12-01.jpg
home,2024-12-01,2024-12-03,Charming Home banglow,,Scored 9.4,,"Clifton, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/591336982.webp?k=221124f7005daebbf5f17ff967ccd7c7b71646fe45271597ccc0b195a55d8a0e&o=,images_home\Charming_Home_banglow_2024-12-01.jpg
home,2024-12-01,2024-12-03,"Spacious 3 Bedroom Furnished Family Home near Valencia Town, Lake City & Ring Road",,Scored 8.8,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/498125304.webp?k=af4f6c664e570c0d5dfc3c0ebc42e475d3d60d3be661db00f6553ec5ff26010b&o=,images_home\Spacious_3_Bedroom_Furnished_Family_Home_near_Valencia_Town__Lake_City___Ring_Road_2024-12-01.jpg
home,2024-12-01,2024-12-03,House in bahria,,,,Dargai,https://cf.bstatic.com/xdata/images/hotel/square240/676667169.webp?k=136e367e2ad41323c76c9d6194f3e169a59d8623ddf8002087203cd23fc3b940&o=,images_home\House_in_bahria_2024-12-01.jpg
home,2024-12-01,2024-12-03,Entire Holiday Home in Galiyat with Valley Views,,,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/623219362.webp?k=311d65d63324cc509e44f6a530f4259dc82850f0a9d62a05465b1c9c8f6668d7&o=,images_home\Entire_Holiday_Home_in_Galiyat_with_Valley_Views_2024-12-01.jpg
home,2024-12-01,2024-12-03,Mountain View House,,Scored 10,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/269407330.webp?k=6edbfd4376ed84ce3707c5bff464b17a2a95ab98fbaad6a3134f1d5fdf927a79&o=,images_home\Mountain_View_House_2024-12-01.jpg
home,2025-01-01,2025-01-03,The Radiant Residence Phase 3 Bahria Town,,Scored 8.2,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/668808475.webp?k=a6736b10a1ad2230c206888ca08419da9cbe99cba43c04fa831c821f888a9f51&o=,images_home\The_Radiant_Residence_Phase_3_Bahria_Town_2025-01-01.jpg
home,2025-01-01,2025-01-03,"The Mountain Retreat, Muzaffarabad - Families Only",,Scored 9.6,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/707404221.webp?k=3177da51eab024eef7679367288f788a017779dd7385bca45c1d49bfc70fef51&o=,images_home\The_Mountain_Retreat__Muzaffarabad_-_Families_Only_2025-01-01.jpg
home,2025-01-01,2025-01-03,Peaceful Private Cottage in Khaira Gali Galyat Murree,,Scored 8.7,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/362695824.webp?k=a62c1426442b40aaac416624bdfe982adec7c6d34e692d131fc2f895f6c0517a&o=,images_home\Peaceful_Private_Cottage_in_Khaira_Gali_Galyat_Murree_2025-01-01.jpg
home,2025-01-01,2025-01-03,Two Bedroom House near Centaurus,,,,"G-8 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/709645283.webp?k=c317092a374055edadffe87ac02a9281a0af05cd9a2932f81b0111e1178f1544&o=,images_home\Two_Bedroom_House_near_Centaurus_2025-01-01.jpg
home,2025-01-01,2025-01-03,Haven Lodge - 7BR Luxury Vacation Home with Mountain View,,Scored 7.9,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/606329309.webp?k=f976b94cffdd59b6259d9258b0d8066965124f116bfec5f1e6dbcdd92ed054ec&o=,images_home\Haven_Lodge_-_7BR_Luxury_Vacation_Home_with_Mountain_View_2025-01-01.jpg
home,2025-01-01,2025-01-03,Vip homes jhelum,,Scored 9.4,,Jhelum,https://cf.bstatic.com/xdata/images/hotel/square240/565400145.webp?k=6ea8e447b0ad7388e168989011875c35081882c1752a79e9d547324efb133970&o=,images_home\Vip_homes_jhelum_2025-01-01.jpg
home,2025-01-01,2025-01-03,Relax point,,,,Sargodha,https://cf.bstatic.com/xdata/images/hotel/square240/727328821.webp?k=51a21f386d66bcdbdc1454f01edf2a33b0c76be086ba3799d084f60b43a4ca48&o=,images_home\Relax_point_2025-01-01.jpg
home,2025-01-01,2025-01-03,Haven Hilltop Cottage,,,,Dunga Gali,https://cf.bstatic.com/xdata/images/hotel/square240/709679195.webp?k=2316ea2294885d1535b6cde801fbe4b5cf24c724958c78a3f1095cb53fcc6408&o=,images_home\Haven_Hilltop_Cottage_2025-01-01.jpg
